Name,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,Phone,Email,Address,Has_4_Wheeler,Highest_Time_Spent_Website,Highest_Time_Spent
Andrew Jones,42,admin.,married,secondary,yes,-1300,no,no,14,may,89,1,-1,0,unknown,no,2977280375,saumay.jaiswal.btech2022@sitpune.edu.in,"37625 Abigail Views Suite 718
Philipmouth, DC 13832",True,rocketmortgage.com,205
Jasmine Martin,57,technician,married,tertiary,no,-1,no,no,14,may,850,2,-1,0,unknown,yes,5803784077,surya03.ravi@gmail.com,"1002 Christopher Valleys
West Stephanieton, WA 55362",False,bankofamerica.com/home-loans,194
Ravi Prakash,47,management,married,tertiary,no,60,no,no,2,jun,282,7,-1,0,unknown,no,5452736644,surya03.ravi@gmail.com,"5455 Moore Turnpike
Hunterside, RI 78209",False,bankofamerica.com/home-loans,177
Lori Klein PhD,55,blue-collar,divorced,secondary,no,4053,no,no,6,jun,182,2,-1,0,unknown,no,4796560305,michelehayes@example.net,"423 Kelly Meadow Apt. 148
Port Karenberg, FM 54685",False,chase.com/mortgage,168
Alexander Diaz,55,retired,divorced,tertiary,no,1218,no,yes,5,jun,145,1,-1,0,unknown,no,4853534789,aayala@example.com,"5988 Johnson Spur Apt. 173
Espinozafort, WI 75081",True,rocketmortgage.com,158
Brittany Franklin,58,management,divorced,tertiary,no,1266,no,yes,6,jun,164,1,-1,0,unknown,no,5546160286,pstanley@example.net,"1161 Larry Isle
Watersbury, OH 28227",True,bankofamerica.com/home-loans,154
Lisa Cole,41,technician,married,secondary,no,0,no,no,2,jun,157,3,-1,0,unknown,no,2375970016,jesse62@example.com,"USNS Reilly
FPO AE 10458",False,chase.com/mortgage,151
Aaron Owen,32,unknown,single,secondary,no,-274,no,yes,27,may,108,3,-1,0,unknown,no,6745627886,batesteresa@example.com,"599 Breanna Fords Suite 359
South Victoriaside, MN 97175",False,rocketmortgage.com,149
Shawn Adams,49,services,married,secondary,no,47,no,no,5,may,234,2,-1,0,unknown,no,6003832485,edward75@example.net,"51219 Shawn Oval
Normanview, OR 02379",False,rocketmortgage.com,147
David Wagner,55,entrepreneur,divorced,tertiary,no,1119,no,no,29,may,283,1,-1,0,unknown,no,7538811039,andrewbaker@example.org,"USCGC Anderson
FPO AE 79527",True,rocketmortgage.com,146
Mary Hoover,42,blue-collar,married,secondary,no,-21,no,no,2,jun,377,1,-1,0,unknown,no,4997679024,donaldharris@example.net,"07766 Catherine Manor Suite 640
Patrickmouth, SC 21820",False,chase.com/mortgage,143
Mr. Adam Arnold,37,entrepreneur,divorced,secondary,no,14,no,no,5,jun,22,1,-1,0,unknown,no,6339656203,elizabeth84@example.com,"22534 Sampson Trace Apt. 293
New Nancyland, ID 69630",True,chase.com/mortgage,143
Sean House,40,retired,single,primary,no,0,no,no,5,may,136,2,-1,0,unknown,no,4707533619,ronaldrivas@example.net,"862 Mitchell Tunnel
West Elizabeth, GA 77139",False,bankofamerica.com/home-loans,143
