Name,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,Phone,Email,Address,Has_4_Wheeler,Highest_Time_Spent_Website,Highest_Time_Spent
Uday J,30,management,married,tertiary,no,1476,yes,yes,3,jun,199,4,-1,0,unknown,no,5178787623,udayjhala.27@gmail.com,"864 Nicole Throughway Apt. 710
Shepardtown, NY 39067",False,statefarm.com/life-insurance,202
Udayraj Jhala,46,management,married,tertiary,no,1038,yes,yes,15,may,200,3,-1,0,unknown,no,5716561091,jhalauday27@gmail.com,"05271 Smith Trail Apt. 618
Henryfurt, WY 23934",False,statefarm.com/life-insurance,190
Matthew Delgado,46,technician,married,secondary,no,1307,yes,no,29,may,404,1,-1,0,unknown,no,3055998544,jamie36@example.com,"8246 Maldonado Spurs Suite 544
Lake Michaelton, TX 75052",True,statefarm.com/life-insurance,175
Gabriel Haas,45,services,married,secondary,no,-839,yes,no,28,may,68,1,-1,0,unknown,no,7549168874,jeffrey40@example.net,"370 Joshua Forge
Joeburgh, WA 58415",True,statefarm.com/life-insurance,171
Carrie Olson,57,management,married,tertiary,no,2261,yes,no,8,may,1007,1,-1,0,unknown,no,7704029437,gregorylloyd@example.com,"700 Rodriguez Ridges
North Cameronside, MP 72718",True,statefarm.com/life-insurance,170
Michael Beck,30,admin.,married,secondary,no,457,yes,no,3,jun,384,5,-1,0,unknown,no,4952212296,lisawilson@example.net,"0634 Hernandez Points
Grayfort, WY 88190",False,statefarm.com/life-insurance,160
Travis Cook,44,management,married,tertiary,no,5282,yes,no,30,may,274,1,-1,0,unknown,no,7572198921,ecross@example.com,"004 Smith Place Suite 898
East Ginahaven, FM 10965",True,statefarm.com/life-insurance,158
Sean Anderson,34,blue-collar,married,primary,no,571,yes,no,23,may,202,2,-1,0,unknown,no,7846820146,ashley30@example.com,"7466 Heidi Dam
East Dana, MN 15934",True,statefarm.com/life-insurance,158
Jennifer Lopez,46,blue-collar,married,primary,no,258,yes,no,27,may,217,1,-1,0,unknown,no,7133372190,alejandrocrawford@example.net,"Unit 1781 Box 3328
DPO AP 37175",False,statefarm.com/life-insurance,151
Christopher Jenkins,31,blue-collar,married,primary,no,746,yes,yes,3,jun,25,1,-1,0,unknown,no,3185016702,moorepeter@example.com,"USNV Dixon
FPO AA 15543",False,statefarm.com/life-insurance,151
Meagan Harrison,58,retired,married,secondary,no,0,yes,no,26,may,77,1,-1,0,unknown,no,9152278116,hallphilip@example.com,"4997 Campbell Lodge
Rebeccashire, MA 14832",True,statefarm.com/life-insurance,145
Caleb Holland,36,self-employed,married,tertiary,no,19,no,no,5,may,189,2,-1,0,unknown,no,2657940643,joshua78@example.net,"8240 James Point
Kimberlyview, MI 19501",True,statefarm.com/life-insurance,142
Travis Barnett,47,services,married,secondary,no,1306,yes,no,9,may,252,4,-1,0,unknown,no,7155436038,jacqueline32@example.org,"58001 Christy Park Apt. 235
West Katelyn, AZ 70197",True,statefarm.com/life-insurance,141
Amy Flowers,50,blue-collar,married,primary,no,40,yes,no,8,may,152,1,-1,0,unknown,no,6144954949,stephanie05@example.net,"USCGC Ramos
FPO AP 63410",True,statefarm.com/life-insurance,140
Don Andrews,53,blue-collar,married,primary,no,634,yes,no,16,may,475,2,-1,0,unknown,no,8702024243,lawrence33@example.org,"859 Susan Harbor Suite 986
West Williamburgh, NM 58509",True,statefarm.com/life-insurance,139
Caleb Nunez MD,53,retired,married,secondary,no,-686,no,yes,2,jun,255,3,-1,0,unknown,no,4615319036,cameron94@example.org,"56254 Kelly Common Apt. 940
Buckleyfort, NJ 93359",True,statefarm.com/life-insurance,138
Travis Thomas,55,technician,married,secondary,no,276,yes,no,12,may,486,1,-1,0,unknown,no,9649831427,npatel@example.com,"80954 Mills Trail Apt. 266
East Troy, NH 28563",False,statefarm.com/life-insurance,138
Janet Patel,58,housemaid,married,primary,no,5278,yes,no,4,jun,763,4,-1,0,unknown,no,7316395899,smithsheila@example.net,"5602 Cathy Summit Apt. 549
Ryanstad, PW 84287",True,statefarm.com/life-insurance,138
Monica Brown,42,blue-collar,married,primary,no,803,yes,no,7,may,171,2,-1,0,unknown,no,5562388729,karenhopkins@example.net,"202 Thompson Highway
Gregoryberg, MD 30058",False,statefarm.com/life-insurance,135
Jeremy Jones,31,blue-collar,married,primary,no,352,yes,no,19,may,97,9,-1,0,unknown,no,8282196961,michael55@example.org,"02523 Allison Fields Suite 531
North Paigeton, MA 13909",True,statefarm.com/life-insurance,135
Jeffrey Reese,31,blue-collar,married,primary,no,591,yes,no,14,may,287,3,-1,0,unknown,no,5678439242,christopher35@example.org,"995 Morris Fort
New Lisa, FL 52500",False,statefarm.com/life-insurance,135
James Lucero,55,management,married,secondary,no,8592,no,no,9,jun,255,1,-1,0,unknown,no,9215902338,imcdonald@example.com,"408 Lisa Drive
South Shawnbury, MH 22594",True,statefarm.com/life-insurance,134
Angela Moore,42,management,married,tertiary,no,202,no,no,6,jun,136,1,-1,0,unknown,no,4065706120,josephrivas@example.net,"PSC 1458, Box 4751
APO AP 90650",False,statefarm.com/life-insurance,134
Paula Osborn,27,blue-collar,married,secondary,no,613,yes,no,19,may,65,3,-1,0,unknown,no,8876889999,wilkinskaitlin@example.com,"77737 Douglas Grove Apt. 414
South Peggychester, NJ 30939",True,statefarm.com/life-insurance,133
Kimberly Smith,23,management,married,tertiary,no,175,yes,no,26,may,796,1,-1,0,unknown,no,3667043935,pwilcox@example.org,"4616 Kimberly Valley
West Tracy, MH 50993",False,statefarm.com/life-insurance,133
Katherine Richardson,47,admin.,married,secondary,no,257,yes,no,15,may,484,11,-1,0,unknown,no,9126021892,crystal46@example.com,"2119 Michael Camp Suite 252
East Emilyside, IN 34614",True,statefarm.com/life-insurance,132
Phillip Myers,40,retired,married,primary,no,407,yes,no,7,may,502,1,-1,0,unknown,no,2943620617,ojacobs@example.net,"Unit 5968 Box 9346
DPO AE 07118",True,statefarm.com/life-insurance,132
Madison Watkins,56,blue-collar,married,secondary,no,25,yes,no,19,may,264,1,-1,0,unknown,no,8166847350,hammondmichelle@example.com,"54698 Gonzalez Highway
West John, SD 40088",True,statefarm.com/life-insurance,132
Robin Smith,41,blue-collar,married,primary,no,-204,yes,yes,6,jun,42,1,-1,0,unknown,no,4699352284,william50@example.org,"848 Ballard Forest
South Garychester, FL 70110",True,statefarm.com/life-insurance,132
