Name,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,Phone,Email,Address,Has_4_Wheeler,Highest_Time_Spent_Website,Highest_Time_Spent
Jason Thomas,33,technician,married,secondary,no,95,yes,no,26,may,190,2,-1,0,unknown,no,5495037537,saumay123@gmail.com,"40496 Holmes Court
West Aprilstad, NH 01285",True,sofi.com/personal-loans,184
Debbie May,32,technician,married,secondary,no,221,yes,no,23,may,224,4,-1,0,unknown,no,3702694131,saumay.jaiswal.btech2022@sitpune.edu.in,"683 Cline Terrace Apt. 952
East Katie, RI 77631",False,sofi.com/personal-loans,177
Gabriel Bailey,57,technician,married,secondary,no,197,no,no,7,may,32,1,-1,0,unknown,no,3809199996,surya.ravi.btech2022@sitpune.edu.in,"Unit 1479 Box 0602
DPO AP 73357",False,sofi.com/personal-loans,174
Kristen Jimenez,55,blue-collar,married,secondary,no,1268,yes,no,7,may,223,2,-1,0,unknown,no,3423619594,tiffany96@example.com,"84161 Marshall Tunnel
South Adam, PA 83217",False,sofi.com/personal-loans,173
Angela Beard,30,technician,single,unknown,no,-48,yes,no,6,may,152,2,-1,0,unknown,no,5669016559,jessica08@example.org,"517 Shea Locks Apt. 964
South Suzanneburgh, DE 75536",False,sofi.com/personal-loans,172
George Anderson,47,management,married,unknown,no,150,no,no,9,jun,52,1,-1,0,unknown,no,2384624337,mhughes@example.org,"0684 Marquez Rest
Reedland, PA 43258",False,sofi.com/personal-loans,168
William Butler,36,blue-collar,single,primary,no,4519,yes,no,23,may,117,2,-1,0,unknown,no,2657904703,rodriguezkristin@example.org,"4611 Smith Bypass Apt. 338
Kennethchester, OR 35046",True,sofi.com/personal-loans,165
Joshua Monroe,39,management,single,tertiary,no,255,yes,no,5,may,296,1,-1,0,unknown,no,4626496075,hendricksthomas@example.org,"490 Connor Islands
North Judithstad, FM 25271",True,sofi.com/personal-loans,164
Cory Wood,32,admin.,single,secondary,no,-227,yes,yes,9,may,646,1,-1,0,unknown,no,2288182126,ramirezbenjamin@example.net,"1486 Abbott Wells Suite 628
East Jennifer, UT 05482",True,sofi.com/personal-loans,164
Brooke Walters DDS,60,management,divorced,unknown,no,404,yes,no,9,may,95,2,-1,0,unknown,no,2482780128,jason13@example.com,"8985 Tanner Lodge
East Joanna, PW 94798",True,sofi.com/personal-loans,162
Brian Vega,31,technician,married,tertiary,no,8,no,no,29,may,71,5,-1,0,unknown,no,6207513108,osbornedouglas@example.org,"53375 Cabrera Grove Suite 470
Morgantown, UT 47684",False,sofi.com/personal-loans,160
Erica Garrett,40,admin.,married,secondary,no,3087,yes,yes,27,may,185,1,-1,0,unknown,no,2817017970,zpeters@example.net,"39166 Russell Prairie Suite 846
West Christopherfurt, CA 24643",False,sofi.com/personal-loans,160
Judith Grant,32,technician,married,secondary,no,0,yes,no,23,may,134,2,-1,0,unknown,no,4688853967,strongjesse@example.com,"9845 Cassandra Passage
Port Matthewstad, WA 86212",True,sofi.com/personal-loans,157
Mary Smith,39,technician,single,secondary,no,1022,yes,no,20,may,1410,2,-1,0,unknown,yes,7524479616,fitzgeralderic@example.net,"0403 Patterson Radial
Anthonyhaven, MN 77028",True,sofi.com/personal-loans,156
James Obrien,49,admin.,married,primary,no,458,yes,no,8,may,381,1,-1,0,unknown,no,4503036877,michaelherring@example.net,"92376 Hannah Landing
Monroeborough, AK 54830",False,sofi.com/personal-loans,155
Laura Lopez,36,blue-collar,married,secondary,no,959,yes,no,29,may,200,4,-1,0,unknown,no,9782709844,valexander@example.net,"Unit 5405 Box 6421
DPO AA 84093",False,sofi.com/personal-loans,155
Glenn Curry,35,blue-collar,married,secondary,no,1949,yes,no,2,jun,200,3,-1,0,unknown,no,7117871044,emilynichols@example.com,"13802 Taylor Villages Suite 447
Lake Katherineport, CA 45193",True,sofi.com/personal-loans,153
Justin Gutierrez MD,39,housemaid,single,secondary,no,2022,no,no,6,jun,105,1,-1,0,unknown,no,2155037823,gwilliams@example.org,"1912 Dustin Overpass
Lake Danielberg, MO 64027",False,sofi.com/personal-loans,152
Jeremiah Tucker,35,admin.,married,secondary,no,404,yes,no,29,may,539,1,-1,0,unknown,yes,7709937328,suzanne25@example.net,"81193 Mary Canyon
Garretttown, IN 75367",False,sofi.com/personal-loans,151
Michelle Gomez,48,blue-collar,divorced,primary,no,338,yes,no,21,may,38,12,-1,0,unknown,no,2829031075,qgarrison@example.net,"USNV Brown
FPO AP 45781",False,sofi.com/personal-loans,150
Alexa Wang,36,management,married,tertiary,no,27359,yes,no,3,jun,71,2,-1,0,unknown,no,9247900428,foxmelissa@example.com,"924 Wade Center Apt. 235
Port Andrea, WA 77414",False,sofi.com/personal-loans,150
Kim Williams,42,admin.,single,secondary,no,-847,yes,no,27,may,137,2,-1,0,unknown,no,5214489976,bianca08@example.net,"184 Kelley Road
Garciahaven, OK 60590",True,sofi.com/personal-loans,147
Jason Martinez,35,services,divorced,secondary,no,532,yes,no,2,jun,375,1,-1,0,unknown,no,5106731610,ypowers@example.net,"1668 James Oval
Bradhaven, LA 42380",False,sofi.com/personal-loans,146
Thomas Oneill,46,blue-collar,single,secondary,no,0,no,no,21,may,27,10,-1,0,unknown,no,4265607729,bergerjoshua@example.net,"523 Johnston Unions Suite 948
Port Mikaylaland, AL 81167",False,sofi.com/personal-loans,145
